trade_date,open,high,low,close,vol,amount,adj_factor
20230711,265.0,270.69,263.8,269.33,102405.2,2744333.129,1.0
20230712,270.5,271.15,264.66,265.61,87031.95,2328017.076,1.0
20230713,267.5,269.5,265.01,267.83,82753.01,2213414.441,1.0
20230714,267.8,267.8,263.5,264.41,102722.03,2718639.361,1.0
20230717,267.0,267.0,262.35,264.49,78926.63,2086663.751,1.0
20230718,265.25,267.57,260.5,265.48,98456.48,2603934.532,1.0
20230719,265.49,265.9,262.74,264.83,50250.0,1328126.187,1.0
20230720,265.5,269.5,264.0,264.95,91270.51,2434017.185,1.0
20230721,264.0,264.8,261.55,264.32,75287.03,1979318.622,1.0
20230724,261.01,262.77,257.49,257.5,95950.37,2491708.306,1.0
20230725,262.68,266.99,262.65,264.59,173882.84,4604657.752,1.0
20230726,263.76,263.76,260.6,262.09,65864.88,1723363.551,1.0
20230727,264.5,265.77,260.8,261.63,112650.69,2962230.532,1.0
20230728,260.0,267.65,258.22,267.0,173308.25,4584230.666,1.0
20230731,270.0,276.58,269.88,272.0,215060.16,5874722.583,1.0
20230801,271.76,272.76,266.5,268.5,120339.93,3239067.594,1.0
20230802,270.7,272.0,266.36,268.0,87393.51,2346829.431,1.0
20230803,267.28,268.48,265.51,268.23,66169.88,1766952.896,1.0
20230804,268.99,270.07,266.65,268.3,88053.15,2358257.628,1.0
20230807,267.93,267.93,265.19,266.99,64203.8,1710317.723,1.0
20230808,265.2,266.5,262.51,263.3,91711.88,2419517.105,1.0
20230809,262.0,263.5,260.23,262.9,72499.37,1897124.688,1.0
20230810,263.0,264.87,260.74,262.7,60016.1,1575799.641,1.0
20230811,262.69,262.7,259.01,259.25,86125.28,2242256.361,1.0
20230814,255.0,256.99,243.49,245.82,252890.35,6237439.722,1.0
20230815,245.82,246.13,241.9,244.54,115021.29,2804377.793,1.0
20230816,243.28,245.5,242.21,244.2,79979.36,1953463.842,1.0
20230817,243.37,246.34,240.4,246.01,86835.55,2118628.433,1.0
20230818,245.56,245.56,240.0,240.29,98466.5,2385483.843,1.0
20230821,239.8,239.88,234.05,234.41,127879.2,3022536.162,1.0
20230822,237.97,238.5,230.9,234.54,112115.89,2620973.083,1.0
20230823,234.54,234.54,230.03,230.09,81237.55,1882331.986,1.0
20230824,231.01,237.0,231.01,234.9,106810.59,2501734.161,1.0
20230825,233.28,234.33,231.5,232.6,66775.26,1554437.027,1.0
20230828,248.0,248.0,234.25,235.53,133527.36,3189524.811,1.0
20230829,236.81,247.5,236.81,246.71,213223.46,5201525.92,1.0
20230830,249.33,251.47,247.84,249.8,152187.35,3798606.951,1.0
20230831,250.51,250.99,248.0,249.4,88733.96,2214559.039,1.0
20230901,253.0,254.47,248.0,249.12,77771.83,1949444.069,1.0
20230904,251.6,253.0,248.88,252.45,96511.6,2427791.469,1.0
20230905,252.2,252.2,248.69,249.03,74570.5,1864915.96,1.0
20230906,250.0,252.3,249.3,250.45,65928.56,1653726.027,1.0
20230907,250.42,250.42,248.11,248.4,60913.02,1517662.852,1.0
20230908,247.01,247.01,242.69,244.05,67634.4,1651599.178,1.0
20230911,243.7,248.5,242.2,247.01,76513.44,1876707.032,1.0
20230912,248.7,253.37,247.1,251.99,119532.4,3004363.229,1.0
20230913,252.0,254.28,250.4,251.55,91478.97,2305291.96,1.0
20230914,246.8,246.95,242.0,243.63,152580.25,3722930.909,1.0
