trade_date,open,high,low,close,vol,amount,adj_factor
20230711,49.72,50.42,49.5,50.3,196696.01,983659.361,1.0
20230712,50.32,50.45,48.22,48.38,383719.93,1881906.899,1.0
20230713,48.6,49.37,48.6,49.2,250772.99,1229564.595,1.0
20230714,49.2,50.13,49.16,49.46,183227.47,909159.937,1.0
20230717,49.16,49.46,48.6,48.77,165078.7,806855.842,1.0
20230718,49.0,50.75,49.0,49.7,278801.12,1394187.855,1.0
20230719,49.5,49.58,48.88,49.15,160502.93,788838.35,1.0
20230720,49.33,49.55,49.02,49.29,130655.89,644076.801,1.0
20230721,49.01,49.24,48.88,49.0,125845.18,617119.609,1.0
20230724,48.88,49.51,48.84,49.0,113749.78,559330.693,1.0
20230725,49.66,49.8,49.23,49.77,179668.83,890948.323,1.0
20230726,49.66,50.18,49.54,50.15,161153.19,803412.947,1.0
20230727,50.01,50.14,49.2,49.39,163390.62,812613.124,1.0
20230728,49.03,50.35,48.99,50.26,186980.54,933055.645,1.0
20230731,50.31,51.38,50.28,51.36,259441.37,1324877.472,1.0
20230801,51.4,51.57,50.49,50.72,181103.14,921404.966,1.0
20230802,50.87,51.12,50.66,50.83,108139.8,549979.976,1.0
20230803,50.7,51.18,50.18,50.91,120481.76,613432.104,1.0
20230804,51.37,51.61,51.01,51.1,171008.1,875914.545,1.0
20230807,51.12,51.18,49.06,49.26,324039.42,1610428.094,1.0
20230808,49.12,49.9,48.98,49.47,161479.77,796863.741,1.0
20230809,49.3,49.59,48.46,48.64,179610.32,878532.354,1.0
20230810,48.66,49.0,48.34,48.47,141846.13,688655.014,1.0
20230811,48.85,48.95,46.91,46.92,318555.53,1514515.991,1.0
20230814,46.58,47.36,46.3,47.34,135852.84,638638.985,1.0
20230815,47.47,47.75,46.91,47.52,129261.12,612785.218,1.0
20230816,47.5,48.09,47.3,47.55,137536.66,656989.174,1.0
20230817,47.3,48.25,46.71,48.15,134232.74,642153.302,1.0
20230818,48.78,48.86,47.87,48.01,147357.92,712243.184,1.0
20230821,47.9,48.59,47.63,47.68,111878.04,539061.516,1.0
20230822,47.87,48.97,47.6,48.82,202560.83,980415.331,1.0
20230823,48.54,48.99,47.76,47.89,157167.14,764488.486,1.0
20230824,48.13,48.94,47.78,48.62,128400.1,621822.144,1.0
20230825,48.4,48.64,47.69,48.3,136746.27,657417.62,1.0
20230828,50.72,50.98,48.52,48.55,239093.76,1184020.365,1.0
20230829,48.61,51.0,48.61,51.0,395939.38,1990118.389,1.0
20230830,53.98,54.54,52.32,52.94,711224.89,3804531.953,1.0
20230831,52.6,54.79,52.3,54.24,567917.73,3071449.764,1.0
20230901,54.38,54.68,52.76,53.68,372842.5,1997027.51,1.0
20230904,53.9,56.9,53.27,56.9,550280.87,3016678.636,1.0
20230905,57.36,58.66,55.15,55.63,854584.34,4880846.191,1.0
20230906,55.16,57.4,54.81,56.83,655365.08,3677819.121,1.0
20230907,55.88,55.88,51.96,52.12,847808.82,4541997.493,1.0
20230908,52.06,53.24,51.41,52.5,493697.7,2586774.083,1.0
20230911,52.58,52.92,51.66,52.06,385280.76,2016487.945,1.0
20230912,52.0,52.2,51.5,51.52,240089.81,1242870.692,1.0
20230913,51.4,51.88,50.32,50.76,300129.06,1528682.411,1.0
20230914,50.71,51.58,50.51,50.77,231068.66,1177349.99,1.0
20230915,50.93,52.63,50.61,51.7,439800.23,2280275.725,1.0
20230918,51.32,51.37,48.42,49.63,471020.93,2349628.738,1.0
20230919,49.53,50.13,49.18,49.35,219406.77,1087749.217,1.0
20230920,49.01,49.65,48.98,49.34,123818.74,611055.535,1.0
20230921,49.3,49.99,49.21,49.5,150680.2,748416.744,1.0
20230922,49.6,51.38,49.41,51.2,282187.35,1425416.501,1.0
20230925,51.21,51.98,50.86,51.33,215607.07,1109448.901,1.0
20230926,51.2,51.2,50.01,50.06,186902.21,941128.211,1.0
20230927,50.18,51.0,50.07,50.66,151176.37,765522.214,1.0
20230928,50.7,51.42,50.25,51.15,176075.65,896776.613,1.0
20231009,50.8,51.48,50.3,50.72,159837.08,812288.923,1.0
20231010,50.73,51.65,50.73,50.83,167263.57,856740.39,1.0
20231011,50.9,54.29,50.5,54.2,461001.08,2419356.855,1.0
20231012,53.75,54.19,53.01,53.69,358582.79,1920432.018,1.0
20231013,53.17,55.88,53.06,54.56,500164.05,2741423.103,1.0
20231016,54.3,55.1,53.05,53.1,236187.74,1270862.239,1.0
20231017,53.1,56.34,52.7,54.4,347672.48,1896488.307,1.0
20231018,55.84,56.73,54.48,54.57,442979.0,2456939.88,1.0
20231019,54.13,57.28,54.0,56.03,752741.44,4228377.193,1.0
20231020,55.61,58.15,55.61,57.1,707396.09,4059007.779,1.0
20231023,56.88,57.74,55.5,56.79,483074.64,2737141.609,1.0
20231024,56.79,57.1,53.36,55.05,480799.55,2653840.641,1.0
20231025,56.0,56.82,54.68,54.68,322059.24,1789416.703,1.0
20231026,54.2,55.6,54.1,54.89,280743.99,1540008.214,1.0
20231027,54.58,57.5,54.4,56.98,471623.3,2663837.461,1.0
20231030,56.74,58.98,56.67,58.3,507353.85,2959089.795,1.0
20231031,58.38,58.38,56.88,57.25,280258.15,1609413.177,1.0
20231101,57.14,59.08,56.78,58.21,361575.65,2109091.15,1.0
20231102,58.5,59.11,57.13,57.31,290942.97,1691163.615,1.0
20231103,57.45,57.99,56.81,57.86,276587.32,1589991.427,1.0
20231106,57.89,58.4,56.96,57.3,337907.38,1945325.694,1.0
20231107,57.0,57.55,56.01,57.55,307593.14,1747525.204,1.0
20231108,57.2,59.38,57.01,58.31,466935.36,2724469.178,1.0
20231109,58.01,58.61,56.87,57.0,240178.41,1380902.451,1.0
20231110,55.55,56.18,53.93,54.39,497180.71,2731319.262,1.0
20231113,54.56,54.88,53.63,54.24,249508.46,1350562.376,1.0
20231114,54.22,54.88,53.96,54.65,229617.44,1248172.525,1.0
20231115,55.02,55.19,54.32,54.32,197293.29,1078282.399,1.0
20231116,54.01,54.2,53.25,53.42,198555.33,1064433.885,1.0
20231117,54.0,54.07,53.38,53.7,153105.41,821891.004,1.0
20231120,53.57,54.31,53.22,53.92,195936.77,1053080.949,1.0
20231121,53.98,54.34,53.58,53.61,156090.2,843669.046,1.0
20231122,53.42,53.79,52.63,52.64,167712.45,893395.082,1.0
20231123,52.5,53.46,52.42,53.38,142333.29,753895.794,1.0
20231124,53.2,54.2,53.15,54.09,182634.35,981410.035,1.0
20231127,54.09,54.79,53.6,54.61,229085.63,1242797.857,1.0
20231128,54.69,54.88,54.2,54.55,153920.83,840697.47,1.0
20231129,54.61,54.79,53.6,53.7,141340.76,764116.505,1.0
20231130,53.76,54.19,53.45,53.7,107828.74,580168.888,1.0
20231201,53.6,54.57,52.9,54.15,178654.82,960244.809,1.0
20231204,54.15,54.53,53.03,53.18,165567.6,886710.47,1.0
20231205,53.05,53.17,52.39,52.39,143970.97,758829.188,1.0
20231206,52.16,52.78,51.74,51.97,182131.73,950451.751,1.0
20231207,51.88,52.67,51.55,52.67,232852.36,1215586.143,1.0
20231208,52.67,52.68,51.1,52.55,381398.23,1985072.089,1.0
20231211,52.01,53.22,51.7,53.18,219874.36,1154536.24,1.0
20231212,53.24,54.17,52.86,54.12,209746.32,1124677.203,1.0
20231213,54.0,54.56,53.7,53.75,179162.95,970375.525,1.0
20231214,54.0,54.2,53.07,53.1,123584.24,664063.613,1.0
20231215,53.29,54.14,53.03,53.6,121309.24,651165.129,1.0
20231218,53.49,53.99,53.2,53.74,100651.68,540840.132,1.0
20231219,53.65,54.94,53.61,54.76,204125.23,1112052.09,1.0
20231220,54.89,55.24,54.46,54.51,144750.05,793468.719,1.0
